"","res_name_group"
"0","MN"
"1","SO4_PO4_CAC_NH4_ALF_VO4_CAD_WO4_TBU_2HP_MOO"
"2","GOL_PGO_SGM_DMF_PGR_PPI_GLV_HAE"
"3","MES"
"4","CPT"
"5","NGT"
"6","DIO"
"7","PEG_DEP"
"8","SO4_PO4_CAC_NH4_ALF_VO4_CAD_WO4_TBU_2HP_MOO"
"9","K"
"10","MG"
"11","HEM"
"12","OCS"
"13","CD"
"14","NAD_NAP"
"15","ZN"
"16","ZN"
"17","SO4_PO4_CAC_NH4_ALF_VO4_CAD_WO4_TBU_2HP_MOO"
"18","NAD_NAP"
"19","FMN_RBF"
"20","FAD_FDA"
"21","ZN"
"22","SO4_PO4_CAC_NH4_ALF_VO4_CAD_WO4_TBU_2HP_MOO"
"23","SO4_PO4_CAC_NH4_ALF_VO4_CAD_WO4_TBU_2HP_MOO"
"24","ADE_AZA_GUN_PRF"
"25","NAG_NDG_A2G_NGA_MAG"
"26","GOL_PGO_SGM_DMF_PGR_PPI_GLV_HAE"
"27","MN"
"28","MG"
"29","CA"
"30","FE"
"31","ZN"
"32","NAG_NDG_A2G_NGA_MAG"
"33","SO4_PO4_CAC_NH4_ALF_VO4_CAD_WO4_TBU_2HP_MOO"
"34","FAD_FDA"
"35","SO4_PO4_CAC_NH4_ALF_VO4_CAD_WO4_TBU_2HP_MOO"
"36","GOL_PGO_SGM_DMF_PGR_PPI_GLV_HAE"
"37","GDP"
"38","CA"
"39","CA"
"40","EDO_BME_ETA"
"41","CA"
"42","HIC"
"43","NA"
"44","SO4_PO4_CAC_NH4_ALF_VO4_CAD_WO4_TBU_2HP_MOO"
"45","SO4_PO4_CAC_NH4_ALF_VO4_CAD_WO4_TBU_2HP_MOO"
"46","GOL_PGO_SGM_DMF_PGR_PPI_GLV_HAE"
"47","DHE"
"48","HEC_COH"
"49","CA"
"50","CU"
"51","SO4_PO4_CAC_NH4_ALF_VO4_CAD_WO4_TBU_2HP_MOO"
"52","MAN_BMA_GAL_FUC_BGC_GLC_XYP_FUL_GLA_XYS_MMA_RAM_BDP_SKM_GCU_XYL_ADA_G2F_GCS_SGC_NOJ_INS_G6D_FCA_ACI"
"53","CA"
"54","EDO_BME_ETA"
"55","TTP_DCP_CTP_TYD_DUP_UTP_CDP_0KX_D3T_DUD"
"56","DOC"
"57","TRS"
"58","ACT_DMS_ACY_NO3_IPA_CO3_BCT_BEF_SO3_AF3_GAI_URE_PO3_ACN_MOS_ACM_MGF_BO3"
"59","FMN_RBF"
"60","NDP_NAI"
"61","SO4_PO4_CAC_NH4_ALF_VO4_CAD_WO4_TBU_2HP_MOO"
"62","ZN"
"63","SO4_PO4_CAC_NH4_ALF_VO4_CAD_WO4_TBU_2HP_MOO"
"64","SO4_PO4_CAC_NH4_ALF_VO4_CAD_WO4_TBU_2HP_MOO"
"65","SO4_PO4_CAC_NH4_ALF_VO4_CAD_WO4_TBU_2HP_MOO"
"66","SO4_PO4_CAC_NH4_ALF_VO4_CAD_WO4_TBU_2HP_MOO"
"67","TAM"
"68","PYR_OXL_BU3_OXM_LAC_2OP_TFA"
"69","CA"
"70","CA"
"71","ZN"
"72","MAN_BMA_GAL_FUC_BGC_GLC_XYP_FUL_GLA_XYS_MMA_RAM_BDP_SKM_GCU_XYL_ADA_G2F_GCS_SGC_NOJ_INS_G6D_FCA_ACI"
"73","MN"
"74","CA"
"75","FAD_FDA"
"76","ZN"
"77","FE"
"78","NAG_NDG_A2G_NGA_MAG"
"79","NI"
"80","CA"
"81","SAH"
"82","MG"
"83","FAD_FDA"
"84","ZN"
"85","SO4_PO4_CAC_NH4_ALF_VO4_CAD_WO4_TBU_2HP_MOO"
"86","NAG_NDG_A2G_NGA_MAG"
"87","MG"
"88","SO4_PO4_CAC_NH4_ALF_VO4_CAD_WO4_TBU_2HP_MOO"
"89","CU"
"90","HEM"
"91","CMO_OXY_CYN_NO_OH_CUA_0QE_PEO_MOH_PER_CF0_FOR"
"92","XE"
"93","MG"
"94","CL"
"95","ZN"
"96","NDP_NAI"
"97","ACT_DMS_ACY_NO3_IPA_CO3_BCT_BEF_SO3_AF3_GAI_URE_PO3_ACN_MOS_ACM_MGF_BO3"
"98","PEP_2PG"
"99","CO"
"100","GOL_PGO_SGM_DMF_PGR_PPI_GLV_HAE"
"101","PG4_SPM_DAO_D12_PG5"
"102","CO"
"103","2NC"
"104","ABA"
"105","NLE"
"106","PLP_PMP_PLR"
"107","BOG_BNG_BHG_HTG"
"108","MN"
"109","SO4_PO4_CAC_NH4_ALF_VO4_CAD_WO4_TBU_2HP_MOO"
"110","CA"
"111","ADN_MTA_GMP_5AD"
"112","ZN"
"113","CD"
"114","CU"
"115","ZN"
"116","TRS"
"117","CL"
"118","NLE"
"119","CL"
"120","ZN"
"121","CA"
"122","NAD_NAP"
"123","GOL_PGO_SGM_DMF_PGR_PPI_GLV_HAE"
"124","NAD_NAP"
"125","SO4_PO4_CAC_NH4_ALF_VO4_CAD_WO4_TBU_2HP_MOO"
"126","CA"
"127","SO4_PO4_CAC_NH4_ALF_VO4_CAD_WO4_TBU_2HP_MOO"
"128","GOL_PGO_SGM_DMF_PGR_PPI_GLV_HAE"
"129","NAG_NDG_A2G_NGA_MAG"
"130","NAG_NDG_A2G_NGA_MAG"
"131","EPE"
"132","CA"
"133","MN"
"134","TTP_DCP_CTP_TYD_DUP_UTP_CDP_0KX_D3T_DUD"
"135","MLY"
"136","EDO_BME_ETA"
"137","CA"
"138","IMD"
"139","NAG_NDG_A2G_NGA_MAG"
"140","CA"
"141","PLP_PMP_PLR"
"142","CU"
"143","THP"
"144","CA"
"145","ACE_NH2_FMT_SCN_EOH_AZI_NO2_FEO_IUM_CO2_CCN_EMC_C2O_N2O"
"146","SO4_PO4_CAC_NH4_ALF_VO4_CAD_WO4_TBU_2HP_MOO"
"147","NLE"
"148","ACT_DMS_ACY_NO3_IPA_CO3_BCT_BEF_SO3_AF3_GAI_URE_PO3_ACN_MOS_ACM_MGF_BO3"
"149","HEM"
"150","MPD_MRD_POP_PPV_DPO_CP_BET_BOC"
"151","CA"
"152","GDP"
"153","CIT_FLC_NCD"
"154","SO4_PO4_CAC_NH4_ALF_VO4_CAD_WO4_TBU_2HP_MOO"
"155","GOL_PGO_SGM_DMF_PGR_PPI_GLV_HAE"
"156","SO4_PO4_CAC_NH4_ALF_VO4_CAD_WO4_TBU_2HP_MOO"
"157","SO4_PO4_CAC_NH4_ALF_VO4_CAD_WO4_TBU_2HP_MOO"
"158","NDP_NAI"
"159","U5P_C5P_TMP_UMP_UP6_2YR"
"160","SO4_PO4_CAC_NH4_ALF_VO4_CAD_WO4_TBU_2HP_MOO"
"161","NAD_NAP"
"162","CL"
"163","ADP_ATP_ANP_GNP_ACP_DTP_GTP_DGT_APC_AGS_GSP_GCP"
"164","ZN"
"165","CA"
"166","GDP"
"167","CA"
"168","NAG_NDG_A2G_NGA_MAG"
"169","NAG_NDG_A2G_NGA_MAG"
"170","MG"
"171","CL"
"172","EDO_BME_ETA"
"173","NAG_NDG_A2G_NGA_MAG"
"174","CA"
"175","CL"
"176","ADP_ATP_ANP_GNP_ACP_DTP_GTP_DGT_APC_AGS_GSP_GCP"
"177","SO4_PO4_CAC_NH4_ALF_VO4_CAD_WO4_TBU_2HP_MOO"
"178","GOL_PGO_SGM_DMF_PGR_PPI_GLV_HAE"
"179","FAD_FDA"
"180","FES"
"181","ADP_ATP_ANP_GNP_ACP_DTP_GTP_DGT_APC_AGS_GSP_GCP"
"182","MG"
"183","NI"
"184","ZN"
"185","FMN_RBF"
"186","MG"
"187","K"
"188","YCM"
"189","CA"
"190","CSO"
"191","SO4_PO4_CAC_NH4_ALF_VO4_CAD_WO4_TBU_2HP_MOO"
"192","GOL_PGO_SGM_DMF_PGR_PPI_GLV_HAE"
"193","CA"
"194","CA"
"195","ACT_DMS_ACY_NO3_IPA_CO3_BCT_BEF_SO3_AF3_GAI_URE_PO3_ACN_MOS_ACM_MGF_BO3"
"196","DHT_TES_STR_ASD"
"197","NDP_NAI"
"198","FOL_MTX_CB3"
"199","EDO_BME_ETA"
"200","BRU"
"201","MG"
"202","GOL_PGO_SGM_DMF_PGR_PPI_GLV_HAE"
"203","SO4_PO4_CAC_NH4_ALF_VO4_CAD_WO4_TBU_2HP_MOO"
"204","ZN"
"205","YCM"
"206","CA"
"207","NDP_NAI"
"208","ADP_ATP_ANP_GNP_ACP_DTP_GTP_DGT_APC_AGS_GSP_GCP"
"209","GOL_PGO_SGM_DMF_PGR_PPI_GLV_HAE"
